escad_code,Description,X,Y,Group,Zone,Agency
N06LA,Launceston Police Headquarters,147.1359167,-41.43575,Northern District,N,Police
N06NE,Newnham Police Station,147.1271,-41.38651667,Northern District,N,Police
N06RA,Ravenswood Police Station,147.1754833,-41.41825,Northern District,N,Police
N07BR,Bridport Police Station,147.3959833,-41.00578333,Northern District,N,Police
N07DE,Derby Police Station,147.7948667,-41.14136667,Northern District,N,Police
N07FI,Fingal Police Station,147.9640333,-41.6417,Northern District,N,Police
N07GL,Gladstone Police Station,148.0073167,-40.95761667,Northern District,N,Police
N07GT,George Town Police Station,146.8248667,-41.10673333,Northern District,N,Police
N07LB,Lady Barron Police Station,148.2429,-40.21286667,Northern District,N,Police
N07RI,Ringarooma Police Station,147.7350833,-41.24176667,Northern District,N,Police
N07SC,Scottsdale Police Station,147.5167333,-41.15958333,Northern District,N,Police
N07SH,St Helens Police Station,148.24785,-41.32606667,Northern District,N,Police
N07SM,St Marys Police Station,148.1853833,-41.58066667,Northern District,N,Police
N07WH,Whitemark Police Station,148.0166833,-40.12068333,Northern District,N,Police
N09BE,Beaconsfield Police Station,146.8193,-41.20198333,Northern District,N,Police
N09CR,Cressy Police Station,147.0795167,-41.68625,Northern District,N,Police
N09CT,Campbell Town Police Station,147.4943,-41.92943333,Northern District,N,Police
N09DE,Deloraine Police Station,146.6595333,-41.52401667,Northern District,N,Police
N09EV,Evandale Police Station,147.2490333,-41.57016667,Northern District,N,Police
N09EX,Exeter Police Station,146.9516833,-41.2993,Northern District,N,Police
N09LO,Longford Police Station,147.1188167,-41.59346667,Northern District,N,Police
N09PE,Perth Police Station,147.17575,-41.578,Northern District,N,Police
N09WE,Westbury Police Station,146.8428667,-41.52578333,Northern District,N,Police
S01CO,Commissioners Office,147.327917,-42.88004,Southern District,S,Police
S01HO,Hobart Police Headquarters,147.3284167,-42.8794,Southern District,S,Police
S01VI,Victoria Dock,147.335167,-42.881733,Southern District,S,Police
S02GL,Glenorchy Police Station,147.2816833,-42.83371667,Southern District,S,Police
S02ME,Metro Station,147.288983,-42.8399,Southern District,S,Police
S02MR,Marine & Rescue Svcs,147.281051,-42.833268,,,Police
S03BB,Bicheno Boat Shed,148.302712,-41.8767598,Southern District,S,Police
S03BE,Bellerive Police Station,147.3699,-42.86416667,Southern District,S,Police
S03BI,Bicheno Police Station,148.3019667,-41.87455,Southern District,S,Police
S03CA,Rotorlift,147.501167,-42.838833,Southern District,S,Police
S03DU,Dunalley Police Station,147.8102833,-42.88733333,Southern District,S,Police
S03LI,Motor Yacht Club of Tasmania,147.3526,-42.8515,Southern District,S,Police
S03NU,Nubeena Police Station,147.7440667,-43.09598333,Southern District,S,Police
S03OR,Orford Police Station,147.8718833,-42.56108333,Southern District,S,Police
S03PA,Police Academy,147.4578,-42.908933,Southern District,S,Police
S03RI,Richmond Police Station,147.4391667,-42.7361,Southern District,S,Police
S03RO,Clarence Plains Police Station,147.4538833,-42.90651667,Southern District,S,Police
S03SO,Sorell Police Station,147.56275,-42.78486667,Southern District,S,Police
S03SW,Swansea Police Station,148.0749167,-42.12461667,Southern District,S,Police
S03TB,Triabunna Boat Shed,147.909948,-42.508819,Southern District,S,Police
S03TR,Triabunna Police Station,147.9101,-42.50866667,Southern District,S,Police
S04AL,Alonnah Police Station,147.24345,-43.31555,Southern District,S,Police
S04CY,Cygnet Police Station,147.0740667,-43.15726667,Southern District,S,Police
S04DO,Dover Police Station,147.0158667,-43.31288333,Southern District,S,Police
