2011 Statistical Area Level 1  (SA1) 7-Digit Code,Usual Resident Population,Score,Ranking within Australia Rank,Ranking within Australia Decile, Ranking within Australia Percentile,Ranking within State or Territory State,Ranking within State or Territory Rank,Ranking within State or Territory Decile,Ranking within State or Territory Percentile
1100102,605,998,21326,5,41,NSW,7493,5,44
1100105,262,909,8132,2,16,NSW,3139,2,19
1100106,240,793,1886,1,4,NSW,763,1,5
1100107,236,1032,29208,6,56,NSW,9840,6,58
1100108,230,1013,24713,5,48,NSW,8484,5,50
1100109,332,969,15946,4,31,NSW,5788,4,34
1100110,528,923,9620,2,19,NSW,3659,3,22
1100111,567,999,21467,5,41,NSW,7540,5,45
1100112,441,1046,32962,7,63,NSW,10902,7,64
1100113,453,914,8641,2,17,NSW,3332,2,20
1100114,362,934,10874,3,21,NSW,4080,3,24
1100115,481,874,5242,1,10,NSW,2012,2,12
1100116,442,945,12278,3,24,NSW,4564,3,27
1100117,267,973,16635,4,32,NSW,6012,4,36
1100118,326,1021,26520,6,51,NSW,9032,6,53
1100119,282,930,10311,2,20,NSW,3890,3,23
1100120,416,993,20359,4,39,NSW,7191,5,42
1100121,221,893,6646,2,13,NSW,2574,2,16
1100122,316,1029,28559,6,55,NSW,9639,6,57
1100123,318,1024,27325,6,52,NSW,9269,6,55
1100124,450,716,856,1,2,NSW,321,1,2
1100125,390,1060,36555,7,70,NSW,11940,7,70
1100126,280,1100,46361,9,89,NSW,14799,9,87
1100127,419,970,16065,4,31,NSW,5830,4,35
1100128,255,879,5551,2,11,NSW,2140,2,13
1100129,440,881,5711,2,11,NSW,2208,2,13
1100130,283,882,5821,2,12,NSW,2256,2,14
1100131,302,1014,24923,5,48,NSW,8561,5,50
1100132,610,903,7504,2,15,NSW,2911,2,17
1100133,340,978,17448,4,34,NSW,6272,4,37
1100134,357,1088,43769,9,84,NSW,13999,9,82
1100135,399,989,19613,4,38,NSW,6952,5,41
1100136,521,971,16315,4,32,NSW,5917,4,35
1100137,236,944,12095,3,24,NSW,4499,3,27
1100138,408,742,1099,1,3,NSW,436,1,3
1100139,214,900,7265,2,14,NSW,2814,2,17
1100140,278,868,4854,1,10,NSW,1861,2,11
1100141,592,873,5133,1,10,NSW,1976,2,12
1100142,274,919,9170,2,18,NSW,3518,3,21
1100143,389,850,3881,1,8,NSW,1517,1,9
1100144,224,994,20555,4,40,NSW,7261,5,43
1100145,311,843,3533,1,7,NSW,1408,1,9
1100146,421,918,8976,2,18,NSW,3443,3,21
1100147,545,909,8157,2,16,NSW,3146,2,19
1100148,362,852,3959,1,8,NSW,1546,1,10
1100149,383,990,19794,4,38,NSW,7002,5,41
1100150,286,985,18632,4,36,NSW,6645,4,39
1100151,292,1025,27638,6,53,NSW,9368,6,55
1100152,232,657,531,1,2,NSW,188,1,2
1100153,533,743,1111,1,3,NSW,442,1,3
1100154,564,1030,28781,6,55,NSW,9705,6,57
1100155,305,877,5447,2,11,NSW,2094,2,13
1100156,369,1046,32939,7,63,NSW,10891,7,64
1100157,539,914,8595,2,17,NSW,3313,2,20
1100158,314,953,13424,3,26,NSW,4948,3,29
1100159,98,859,4294,1,9,NSW,1668,1,10
1100161,361,954,13616,3,26,NSW,5010,3,30
1100201,601,970,16066,4,31,NSW,5831,4,35
1100202,353,948,12654,3,25,NSW,4683,3,28
1100203,310,978,17444,4,34,NSW,6271,4,37
1100204,281,1011,24178,5,46,NSW,8325,5,49
1100205,587,924,9645,2,19,NSW,3670,3,22
1100206,445,1005,22827,5,44,NSW,7948,5,47
1100207,496,1052,34459,7,66,NSW,11341,7,67
1100208,327,1065,38032,8,73,NSW,12327,8,72
1100209,212,1005,22903,5,44,NSW,7969,5,47
1100210,297,957,14062,3,27,NSW,5147,4,31
1100211,186,1009,23677,5,46,NSW,8197,5,48
1100212,379,1045,32571,7,62,NSW,10781,7,63
1100213,284,1038,30783,6,59,NSW,10276,6,60
1100214,258,983,18328,4,35,NSW,6551,4,39
1100215,274,1011,24198,5,47,NSW,8331,5,49
1100216,476,1021,26431,6,51,NSW,9006,6,53
1100217,331,1045,32778,7,63,NSW,10849,7,64
1100218,313,1016,25339,5,49,NSW,8677,6,51
1100219,353,1006,23024,5,44,NSW,8004,5,47
1100220,321,952,13244,3,26,NSW,4877,3,29
1100221,274,1037,30632,6,59,NSW,10236,6,60
1100222,500,1059,36445,7,70,NSW,11906,7,70
1100223,423,987,19208,4,37,NSW,6833,4,40
1100224,251,991,19906,4,38,NSW,7039,5,42
1100225,316,1013,24730,5,48,NSW,8491,5,50
1100226,579,1041,31785,7,61,NSW,10571,7,62
1100227,404,1088,43664,9,84,NSW,13965,9,82
1100228,351,1056,35693,7,68,NSW,11693,7,69
1100229,219,1050,33999,7,65,NSW,11220,7,66
1100230,284,926,9927,2,19,NSW,3766,3,22
1100231,475,919,9108,2,18,NSW,3501,3,21
1100232,209,998,21179,5,41,NSW,7454,5,44
1100233,264,1028,28187,6,54,NSW,9537,6,56
1100301,598,1007,23173,5,45,NSW,8050,5,47
1100302,136,1119,49817,10,95,NSW,16001,10,94
1100303,246,1019,26175,5,50,NSW,8932,6,53
1100304,519,1072,39766,8,76,NSW,12785,8,75
1100305,438,1086,43116,9,83,NSW,13792,9,81
1100306,388,1009,23769,5,46,NSW,8220,5,48
1100307,693,911,8262,2,16,NSW,3184,2,19
1100308,300,1066,38221,8,73,NSW,12378,8,73
1100309,476,1045,32668,7,63,NSW,10813,7,64
1100310,443,962,14724,3,29,NSW,5367,4,32
1100311,579,1004,22640,5,44,NSW,7897,5,47
1100312,602,989,19534,4,38,NSW,6934,5,41
1100313,421,1045,32579,7,62,NSW,10785,7,63
1100314,497,995,20673,4,40,NSW,7300,5,43
1100401,185,1031,29029,6,56,NSW,9782,6,58
1100402,294,992,20157,4,39,NSW,7120,5,42
1100403,107,946,12437,3,24,NSW,4610,3,27
1100404,845,1144,52209,10,100,NSW,16975,10,100
1100405,301,1125,50724,10,97,NSW,16338,10,96
1100406,254,1113,48918,10,94,NSW,15666,10,92
1100407,437,1108,47967,10,92,NSW,15347,9,90
1100408,333,1139,51942,10,99,NSW,16849,10,99
1100409,148,1145,52258,10,100,NSW,16994,10,100
1100410,381,1107,47763,10,91,NSW,15267,9,90
1100411,286,1119,49889,10,95,NSW,16030,10,94
1100412,309,1117,49645,10,95,NSW,15934,10,94
1100413,238,1014,24880,5,48,NSW,8544,5,50
1100414,227,1122,50240,10,96,NSW,16168,10,95
1100415,410,1108,48079,10,92,NSW,15389,9,90
1100416,403,1099,46142,9,88,NSW,14735,9,87
1100417,270,1118,49744,10,95,NSW,15973,10,94
1100419,156,1062,37115,8,71,NSW,12092,8,71
1100420,417,1078,41365,8,79,NSW,13247,8,78
1100421,226,1028,28385,6,54,NSW,9593,6,56
1100422,304,1024,27365,6,53,NSW,9283,6,55
1100423,155,970,16081,4,31,NSW,5834,4,35
1100424,280,1100,46257,9,88,NSW,14770,9,87
1100425,504,1059,36491,7,70,NSW,11921,7,70
1100426,334,1099,46122,9,88,NSW,14730,9,86
1100427,224,1073,40037,8,77,NSW,12856,8,76
1100428,361,1107,47895,10,92,NSW,15315,9,90
